0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
64,"G.M.M. Media Public Co.,Ltd.",13.743534,100.562553,40,16754,23525,317,8,0
65,Ocean Life Insurance,13.742856,100.562025,10,14551,17064,294,7,0
66,Sheraton Grande Sukhumvit,13.737581,100.559036,30,18495,23618,887,5,0
67,JW Marriott Hotel Bangkok,13.741878,100.551934,20,29738,35169,899,10,0
68,Mitr Phol Sugar Corporation Lid.,13.741389,100.552351,-10,13589,14930,9,0,14
69,The Okura Prestige Bangkok,13.742633,100.547877,-20,23974,27133,479,0,25
70,Queen Sirikit National Convention Center,13.724092,100.55881,10,5612,6859,606,40,0
71,FYI Center,13.720459,100.559697,-30,10786,17305,272,0,16
72,The Thai life Assurance Association,13.723134,100.548262,30,20656,27182,683,18,0
73,SO Sofitel Bangkok,13.726081,100.543368,40,22071,27041,298,0,22
74,Hewlett-Packard (Thailand) Ltd.,13.727372,100.540598,30,2407,5571,213,0,54
75,Reuters Software (Thailand) Ltd.,13.727269,100.540842,-10,22217,24368,38,0,13
76,CP All Public Co.Ltd,13.727432,100.532824,30,24421,28347,125,35,0
77,"The Nielsen Company (Thailand) Co.,LTD",13.726928,100.531413,-30,23446,26945,115,0,44
78,Srilankan Airlines,13.726982,100.52845,-40,22622,26461,662,0,30
79,AIS Tower1,13.783466,100.546388,10,10261,17127,230,6,0
80,"IBM Solutions Delivery Co.,Ltd.",13.781012,100.545744,40,13061,17064,55,0,61
